"","epoch_range","errors"
"1",1,4.33499779438943
"2",2,3.59912566915011
"3",3,3.23225271057823
"4",4,3.0473381489424
"5",5,2.93988361520304
"6",6,2.84419197521711
"7",7,2.75397791975196
"8",8,2.66840669016245
"9",9,2.58685355687355
"10",10,2.50868939091859
"11",11,2.43341453280298
"12",12,2.36054494646815
"13",13,2.28976732940142
"14",14,2.22082341220441
"15",15,2.15349621102309
"16",16,2.08773511019504
"17",17,2.02353796013926
"18",18,1.96107965380362
"19",19,1.9008419677799
"20",20,1.84361440301037
"21",21,1.79062523851531
"22",22,1.74351421093461
"23",23,1.70394000544984
"24",24,1.67293592661259
"25",25,1.65024209721435
"26",26,1.63429441941812
"27",27,1.62297699546786
"28",28,1.61441750627964
"29",29,1.60737049483178
"30",30,1.60113825058982
"31",31,1.59534992587971
"32",32,1.58984177040788
"33",33,1.58458019041944
"34",34,1.57950652117033
"35",35,1.57461248075662
"36",36,1.56987147478928
"37",37,1.56524163688225
"38",38,1.56072547618242
"39",39,1.55633781428834
"40",40,1.55206199374091
"41",41,1.54787917587883
"42",42,1.54378687016924
"43",43,1.5397726633395
"44",44,1.53582564519767
"45",45,1.53195837103874
"46",46,1.52814830949082
"47",47,1.52439664717392
"48",48,1.52070430131006
"49",49,1.51707106869415
"50",50,1.51349681914733
"51",51,1.50997722795924
"52",52,1.50650818643343
"53",53,1.50308507039978
"54",54,1.4996992823109
"55",55,1.49635007098815
"56",56,1.49303481051825
"57",57,1.48976103267916
"58",58,1.48652768147087
"59",59,1.48333249989659
"60",60,1.48017326747265
"61",61,1.47705158636497
"62",62,1.47396112116248
"63",63,1.47090256909454
"64",64,1.46787681703123
"65",65,1.46488120421961
"66",66,1.46191951836965
"67",67,1.45899350787155
"68",68,1.45610181058735
"69",69,1.45323936369771
"70",70,1.45040617584109
"71",71,1.44760327051517
"72",72,1.44483011236128
"73",73,1.44208310941404
"74",74,1.43936223795679
"75",75,1.43667192599481
"76",76,1.43401047026409
"77",77,1.43137556927678
"78",78,1.42876893339037
"79",79,1.42619427951102
"80",80,1.42364676177863
"81",81,1.42112349487687
"82",82,1.41862109477786
"83",83,1.41614584137388
"84",84,1.41369995181316
"85",85,1.41128060326673
"86",86,1.408893913209
"87",87,1.4065354388829
"88",88,1.40420155114156
"89",89,1.40189254393069
"90",90,1.39960878892211
"91",91,1.39735010043661
"92",92,1.39511815813486
"93",93,1.39291017326383
"94",94,1.39072623252979
"95",95,1.38856745886294
"96",96,1.38643162978355
"97",97,1.38432367234157
"98",98,1.38224137028706
"99",99,1.38018569789175
"100",100,1.3781535910318
