"","epoch_range","errors"
"1",1,7.85206681051317
"2",2,7.05046699065753
"3",3,6.31353635777698
"4",4,5.61331303554706
"5",5,4.95589939753907
"6",6,4.35546139450216
"7",7,3.81463642078912
"8",8,3.32577531120616
"9",9,2.88809842359721
"10",10,2.51278219886753
"11",11,2.22111491405484
"12",12,2.02994722576861
"13",13,1.9221929800672
"14",14,1.85943889060897
"15",15,1.81591439674216
"16",16,1.78105538394311
"17",17,1.75105826150693
"18",18,1.72466410081157
"19",19,1.70131274748478
"20",20,1.68065513376353
"21",21,1.66239088606805
"22",22,1.64620866493416
"23",23,1.63177626305955
"24",24,1.61879735505331
"25",25,1.60697996197832
"26",26,1.59613321861199
"27",27,1.58607556674217
"28",28,1.57667681922898
"29",29,1.5677996649967
"30",30,1.559360187702
"31",31,1.5513075431971
"32",32,1.54360141962674
"33",33,1.53620772882448
"34",34,1.52910231549798
"35",35,1.5222559989174
"36",36,1.51564964985703
"37",37,1.50927407162073
"38",38,1.50309190121684
"39",39,1.49710131734826
"40",40,1.49128901404976
"41",41,1.48564893199156
"42",42,1.48017395772156
"43",43,1.47484769723072
"44",44,1.46966017305621
"45",45,1.4646109839287
"46",46,1.45968309348972
"47",47,1.45487070414604
"48",48,1.45017812438132
"49",49,1.44559968977223
"50",50,1.44111807923881
"51",51,1.43672977429451
"52",52,1.43243679046014
"53",53,1.42823753490944
"54",54,1.42411546998223
"55",55,1.42006156298454
"56",56,1.41608705984754
"57",57,1.41218747311108
"58",58,1.40835909244143
"59",59,1.40460408108431
"60",60,1.40091894831534
"61",61,1.39730016030784
"62",62,1.3937531853906
"63",63,1.39026727878696
"64",64,1.38683379464387
"65",65,1.383451927037
"66",66,1.38012102324763
"67",67,1.3768482039531
"68",68,1.3736231284056
"69",69,1.37044493098282
"70",70,1.36731309801104
"71",71,1.36422540316196
"72",72,1.36117816771756
"73",73,1.35817294616928
"74",74,1.35520094529774
"75",75,1.3522668750999
"76",76,1.34937741595132
"77",77,1.34651962422238
"78",78,1.34369493298476
"79",79,1.34089965586724
"80",80,1.33813734263063
"81",81,1.33540322447438
"82",82,1.33269897157262
"83",83,1.33001843074309
"84",84,1.32736401740441
"85",85,1.3247319529831
"86",86,1.32212805340501
"87",87,1.31954841351172
"88",88,1.31699517020231
"89",89,1.31446208895806
"90",90,1.31194809588951
"91",91,1.30945397278559
"92",92,1.30698190151821
"93",93,1.30452213063207
"94",94,1.30207876590589
"95",95,1.29964944039572
"96",96,1.29723509310028
"97",97,1.2948289965142
"98",98,1.29242856579299
"99",99,1.29004240605841
"100",100,1.28767128488002
